MapID,Area Name,One-family dwellings,Two-family dwellings,Three-family dwellings,4-6 family dwellings,Over 6 family dwellings,Misc. walkups,Elevator apartments,Old-law Tenements,Cooperatives,Condominium buildings,Multi-use residences,Warehouses,Heavy manufacture,Light manufacture,Other industrial,Garages & gas stations,Hotels,Hospitals,Health centers & clinics,Nursing homes,Misc. health facilities,Theatres,1- and 2-story store bldgs,Department stores,Shopping centers,Misc. store buildings,Loft buildings,Religious buildings,Asylums and homes,Office buildings,Places of public assembly,Outdoor rec facilities,Transportation facilities,Utility properties,Vacant land,Schools,Government installations,Miscellaneous
11102,11102 - Old Astoria,156,892,603,331,261,3,78,39,16,0,16,98,0,3,0,1,3,0,31,0,0,23,0,20,1,23,13,18,30,242,1,10,64,4,3,6,3,12
11103,11103 - Astoria,399,1180,1044,635,311,1,33,51,20,2,6,76,1,0,0,0,0,0,122,0,0,113,0,12,0,50,9,2,13,363,0,6,52,6,7,6,6,3
11104,11104 - Sunnyside,411,548,221,172,101,1,54,8,6,0,4,68,1,0,0,0,0,0,40,0,0,15,0,7,0,8,1,4,12,70,0,0,31,5,1,0,35,0
11105,11105 - Steinway,971,2409,958,284,120,29,9,84,27,0,5,84,0,0,1,0,0,0,62,0,2,44,0,17,0,32,8,10,6,269,0,26,64,7,5,0,1,13
11106,11106 - Ravenswood,201,928,559,376,236,2,57,79,50,0,53,113,1,1,4,1,1,2,51,0,1,61,0,18,2,28,7,10,20,225,0,3,55,14,3,12,8,11
11201,11201 - Brooklyn Heights/Cobble Hill,371,470,324,235,333,5,89,32,1,2,22,96,17,4,12,2,0,3,72,3,0,129,15,37,5,101,7,41,160,373,18,20,90,40,14,0,256,16
11203,11203 - East Flatbush,3827,4254,900,543,154,4,43,70,13,5,16,206,1,7,4,5,1,0,145,0,0,56,0,80,1,34,11,7,13,409,0,1,117,49,8,1,7,25
11204,11204 - Parkville/Bensonhurst,2062,4180,1270,828,138,0,51,30,5,4,4,48,0,0,1,2,2,0,132,1,0,89,0,82,1,50,7,3,145,658,0,23,80,57,5,1,15,8
11205,11205 - Fort Greene,107,576,528,319,153,28,73,127,22,3,77,185,1,2,6,2,0,0,50,0,0,21,3,47,2,25,6,7,185,326,0,0,252,34,7,18,37,32
11206,11206 - Williamsburg/Bedford-Stuyvesant,93,925,706,486,315,9,117,173,63,12,93,257,6,1,8,2,5,0,92,1,0,82,17,70,1,31,2,30,216,448,0,6,254,35,6,32,23,134
11207,11207 - East New York,2105,4151,1612,708,168,15,48,118,32,6,78,471,5,0,9,6,5,0,113,0,6,82,0,128,33,30,9,75,16,575,0,45,538,43,14,94,6,145
11208,11208 - Cypress Hills,1765,5205,1629,485,126,16,13,110,48,5,22,299,3,0,10,5,4,1,90,1,0,64,0,89,5,16,7,46,6,558,0,17,507,30,19,4,3,85
11209,11209 - Bay Ridge,2949,2901,504,263,184,3,101,2,0,0,0,67,2,0,1,2,0,0,57,10,1,83,0,35,5,81,7,6,47,938,0,2,73,23,10,0,107,1
11210,11210 - Vanderveer,5150,1995,309,33,74,1,71,29,1,0,7,68,1,2,5,1,2,0,78,0,1,60,0,66,4,46,4,3,7,377,0,19,86,35,8,1,27,9
11211,11211 - Williamsburg,173,839,1030,653,419,3,163,129,24,8,67,183,3,0,5,2,5,1,67,0,0,80,0,96,6,42,12,24,229,901,2,2,146,35,11,67,61,41
11212,11212 - Brownsville,1588,1466,498,1289,234,5,65,63,5,1,35,143,1,1,4,3,6,0,168,0,1,134,0,76,11,22,9,37,2,361,0,17,258,33,7,8,5,44
11213,11213 - Brower Park/Crown Heights,695,1978,549,326,407,22,86,19,2,1,6,93,4,3,5,0,1,0,55,0,3,39,0,102,6,15,5,15,24,431,0,2,119,31,8,1,24,18
