MapID,area,cholesterol,insurance,colonoscopy,mammagrophy,older_men,older_women,pap_smear,high_bp,dentist,doctor,borough
11693,11693 - Hammels/Broad Channel,79.1,16.6,63.9,76.3,28.3,25.1,82,74.9,60.8,75.9,81
11694,11694 - Seaside/Belle Harbour/Neponsit,83.2,11.3,69.2,77.3,32.5,29.3,83.9,78.2,69.7,77.3,81
11697,11697 - Rockaway Point/Roxbury,86.7,7.2,74.6,78.4,35.8,32.7,85.9,80.8,76.4,79.4,81
10301,10301 - New Brighton/Grymes Hill,76.9,17.2,60.2,74,30.4,28.6,81.9,76,61.6,74.8,85
10302,10302 - Port Richmond,74.8,21.7,57.7,72.8,29.6,27.5,81.3,74.2,57.7,72.9,85
10303,10303 - Mariners Harbour/Point Ivory,74.1,22.9,55.3,73.7,27.1,25.4,81,73.6,54.2,74.3,85
10304,10304 - Stapleton/Fox Hills,76.8,19.2,58.1,73.6,28.9,27.5,80.5,76.2,58.5,75,85
10305,10305 - Rosebank,79.3,13.4,62.5,74,32.8,31.6,82.4,75.7,66.6,74.2,85
10306,10306 - New Dorp/Richmondtown,81.8,10.8,66.3,75.1,34.6,33.9,84.7,77.4,70.7,75.5,85
10307,10307 - Tottenville,80.5,9.8,66.1,75.9,34.9,34.5,85.6,73.8,71.9,73.7,85
10308,10308 - Great Kills,82.2,10.1,66.9,75.3,34.7,34.5,85,76.7,71.2,75,85
10309,10309 - Princes Bay/Woodrow,80.6,10.5,65.5,75.3,34,34.2,84.8,74,70.5,73.8,85
10310,10310 - West New Brighton,76.6,18.1,59.4,74,30.2,28.4,82.2,75.3,61.2,74.4,85
10312,10312 - Eltingville/Annadale,81.7,9.8,67.4,76,34.3,34.8,85,76,71.9,74.9,85
10314,10314 - Castleton Corners/New Springvill,80.7,11.6,65.4,75.2,33.5,33,82.9,77.3,69.2,75.3,85
